,customer_state,price,freight_value,total_price,clrs,customer_state_full,seller_state_full,review_score_seller,review_score,count_clientes,count_seller
0,AC,197.32037037037026,45.51543209876543,242.8358024691358,#fdfd96,ACRE,ACRE,1.0,4.049382716049383,81.0,1.0
1,AL,195.41316301703148,38.72163017031626,234.1347931873481,#fdfd96,ALAGOAS,,,3.7349397590361444,413.0,
2,AM,152.08734693877565,37.27136054421769,189.3587074829932,#fdfd96,AMAZONAS,AMAZONAS,2.3333333333333335,4.168918918918919,148.0,1.0
3,AP,198.15147058823527,41.00735294117648,239.1588235294117,#fdfd96,AMAPÁ,,,4.176470588235294,68.0,
4,BA,152.27813877308083,29.826289458010496,182.10442823109022,#fdfd96,BAHIA,BAHIA,4.0852713178294575,3.849229857819905,3380.0,19.0
5,CE,171.2544913338342,36.436767143933594,207.6912584777694,#fdfd96,CEARÁ,CEARÁ,4.138297872340425,3.8533834586466167,1336.0,13.0
6,DF,142.40185411764625,23.823764705882276,166.22561882352971,#fdfd96,DISTRITO FEDERAL,DISTRITO FEDERAL,4.0321864594894565,4.075058275058275,2140.0,30.0
7,ES,135.82089382715867,24.575111111111006,160.39600493827237,#fdfd96,ESPIRITO SANTO,ESPIRITO SANTO,3.9704301075268815,4.021130221130221,2033.0,23.0
8,GO,146.78223716990436,26.464862979571375,173.24710014947698,#fdfd96,GOIÁS,GOIÁS,4.236084452975048,4.0395256916996045,2020.0,40.0
9,MA,161.6867837837836,42.59968918918918,204.28647297297283,#fdfd96,MARANHÃO,MARANHÃO,3.960591133004926,3.7594086021505375,747.0,1.0
10,MG,137.327445426187,23.46270443520486,160.79014986140047,#fdfd96,MINAS GERAIS,MINAS GERAIS,4.0846292540004505,4.140778370931634,11635.0,244.0
11,MS,164.7568970380816,27.001452750352612,191.7583497884345,#fdfd96,MATO GROSSO DO SUL,MATO GROSSO DO SUL,4.4,4.141666666666667,715.0,5.0
12,MT,173.25972314507126,32.907452934662345,206.1671760797343,#fdfd96,MATO GROSSO,MATO GROSSO,4.165517241379311,4.0949227373068435,907.0,4.0
13,PA,184.48227835051452,39.8961855670103,224.3784639175255,#fdfd96,PARÁ,PARÁ,4.5,3.8362333674513818,975.0,1.0
14,PB,216.6693233082704,48.34535714285718,265.01468045112773,#fdfd96,PARAÍBA,PARAÍBA,3.8947368421052633,4.018761726078799,536.0,6.0
15,PE,159.45875606795923,36.07382281553389,195.53257888349503,#fdfd96,PERNAMBUCO,PERNAMBUCO,4.111607142857143,4.000602046959663,1652.0,9.0
16,PI,176.2963083164298,43.03894523326578,219.33525354969572,#fdfd96,PIAUÍ,PIAUÍ,4.083333333333333,3.9109311740890687,495.0,1.0
17,PR,136.6714205682304,23.579767907163056,160.25118847539,#fdfd96,PARANÁ,PARANÁ,4.0593210652646015,4.187761610524218,5045.0,349.0
18,RJ,142.93156793604894,23.945252311549968,166.87682024760952,#fdfd96,RIO DE JANEIRO,RIO DE JANEIRO,4.080868665977249,3.8692367601246107,12852.0,171.0
19,RN,172.2717427385893,39.128838174273874,211.40058091286338,#fdfd96,RIO GRANDE DO NORTE,RIO GRANDE DO NORTE,4.267857142857143,4.086776859504132,485.0,5.0
20,RO,186.80421052631615,46.22421052631582,233.02842105263156,#fdfd96,RONDÔNIA,RONDÔNIA,3.857142857142857,4.1214574898785425,253.0,2.0
21,RR,170.20499999999996,48.59108695652176,218.7960869565217,#fdfd96,RORAIMA,,,3.608695652173913,46.0,
22,RS,138.12666053019484,24.948958026509754,163.0756185567004,#fdfd96,RIO GRANDE DO SUL,RIO GRANDE DO SUL,4.1945701357466065,4.1416042389914125,5466.0,129.0
23,SC,144.11775747508463,24.822884828350073,168.94064230343332,#fdfd96,SANTA CATARINA,SANTA CATARINA,4.077280508681829,4.0722559293987866,3637.0,190.0
24,SE,170.78507246376836,40.90281159420287,211.68788405797108,#fdfd96,SERGIPE,SERGIPE,3.9,3.8289855072463768,350.0,2.0
25,SP,125.75117945622151,17.37095033232601,143.1221297885159,#fdfd96,SÃO PAULO,SÃO PAULO,3.988298017095286,4.182165696975526,41746.0,1849.0
26,TO,177.8556989247314,42.052616487455204,219.90831541218634,#fdfd96,TOCANTINS,,,4.103942652329749,280.0,
27,BR,164.10991822931558,34.39020586539737,198.5001240947125,#228B22,Brasil,Brasil,4.002749132421341,4.002749132421341,,
